Quarter,Country,Industry,Value,Variable
1997.0,Germany,"Agriculture, forestry and fishing",99.94,GVA
1997.25,Germany,"Agriculture, forestry and fishing",98.73,GVA
1997.5,Germany,"Agriculture, forestry and fishing",99.62,GVA
1997.75,Germany,"Agriculture, forestry and fishing",100.98,GVA
1998.0,Germany,"Agriculture, forestry and fishing",96.92,GVA
1998.25,Germany,"Agriculture, forestry and fishing",98.89,GVA
1998.5,Germany,"Agriculture, forestry and fishing",99.7,GVA
1998.75,Germany,"Agriculture, forestry and fishing",102.6,GVA
1999.0,Germany,"Agriculture, forestry and fishing",108.868,GVA
1999.25,Germany,"Agriculture, forestry and fishing",109.957,GVA
1999.5,Germany,"Agriculture, forestry and fishing",108.947,GVA
1999.75,Germany,"Agriculture, forestry and fishing",107.928,GVA
2000.0,Germany,"Agriculture, forestry and fishing",108.35,GVA
2000.25,Germany,"Agriculture, forestry and fishing",108.2,GVA
2000.5,Germany,"Agriculture, forestry and fishing",107.76,GVA
2000.75,Germany,"Agriculture, forestry and fishing",105.63,GVA
2001.0,Germany,"Agriculture, forestry and fishing",100.118,GVA
2001.25,Germany,"Agriculture, forestry and fishing",99.487,GVA
2001.5,Germany,"Agriculture, forestry and fishing",100.097,GVA
2001.75,Germany,"Agriculture, forestry and fishing",102.328,GVA
2002.0,Germany,"Agriculture, forestry and fishing",99.392,GVA
2002.25,Germany,"Agriculture, forestry and fishing",100.982,GVA
2002.5,Germany,"Agriculture, forestry and fishing",101.823,GVA
2002.75,Germany,"Agriculture, forestry and fishing",102.763,GVA
2003.0,Germany,"Agriculture, forestry and fishing",101.138,GVA
2003.25,Germany,"Agriculture, forestry and fishing",102.577,GVA
2003.5,Germany,"Agriculture, forestry and fishing",104.047,GVA
2003.75,Germany,"Agriculture, forestry and fishing",104.038,GVA
2004.0,Germany,"Agriculture, forestry and fishing",129.45,GVA
2004.25,Germany,"Agriculture, forestry and fishing",127.3,GVA
2004.5,Germany,"Agriculture, forestry and fishing",125.44,GVA
2004.75,Germany,"Agriculture, forestry and fishing",124.38,GVA
2005.0,Germany,"Agriculture, forestry and fishing",94.243,GVA
2005.25,Germany,"Agriculture, forestry and fishing",95.053,GVA
2005.5,Germany,"Agriculture, forestry and fishing",93.052,GVA
2005.75,Germany,"Agriculture, forestry and fishing",92.452,GVA
2006.0,Germany,"Agriculture, forestry and fishing",93.64,GVA
2006.25,Germany,"Agriculture, forestry and fishing",92.8,GVA
2006.5,Germany,"Agriculture, forestry and fishing",91.01,GVA
2006.75,Germany,"Agriculture, forestry and fishing",92.18,GVA
2007.0,Germany,"Agriculture, forestry and fishing",93.562,GVA
2007.25,Germany,"Agriculture, forestry and fishing",92.272,GVA
2007.5,Germany,"Agriculture, forestry and fishing",91.383,GVA
2007.75,Germany,"Agriculture, forestry and fishing",91.272,GVA
2008.0,Germany,"Agriculture, forestry and fishing",104.827,GVA
2008.25,Germany,"Agriculture, forestry and fishing",103.467,GVA
2008.5,Germany,"Agriculture, forestry and fishing",103.767,GVA
2008.75,Germany,"Agriculture, forestry and fishing",103.417,GVA
2009.0,Germany,"Agriculture, forestry and fishing",100.338,GVA
2009.25,Germany,"Agriculture, forestry and fishing",100.387,GVA
2009.5,Germany,"Agriculture, forestry and fishing",100.497,GVA
2009.75,Germany,"Agriculture, forestry and fishing",100.007,GVA
2010.0,Germany,"Agriculture, forestry and fishing",98.3,GVA
2010.25,Germany,"Agriculture, forestry and fishing",98.43,GVA
2010.5,Germany,"Agriculture, forestry and fishing",98.3,GVA
2010.75,Germany,"Agriculture, forestry and fishing",100.52,GVA
2011.0,Germany,"Agriculture, forestry and fishing",102.233,GVA
2011.25,Germany,"Agriculture, forestry and fishing",102.433,GVA
2011.5,Germany,"Agriculture, forestry and fishing",103.182,GVA
2011.75,Germany,"Agriculture, forestry and fishing",102.833,GVA
2012.0,Germany,"Agriculture, forestry and fishing",103.698,GVA
2012.25,Germany,"Agriculture, forestry and fishing",102.647,GVA
2012.5,Germany,"Agriculture, forestry and fishing",102.828,GVA
2012.75,Germany,"Agriculture, forestry and fishing",102.137,GVA
2013.0,Germany,"Agriculture, forestry and fishing",99.742,GVA
2013.25,Germany,"Agriculture, forestry and fishing",99.862,GVA
2013.5,Germany,"Agriculture, forestry and fishing",99.892,GVA
2013.75,Germany,"Agriculture, forestry and fishing",100.763,GVA
2014.0,Germany,"Agriculture, forestry and fishing",109.89,GVA
2014.25,Germany,"Agriculture, forestry and fishing",112.06,GVA
2014.5,Germany,"Agriculture, forestry and fishing",112.81,GVA
2014.75,Germany,"Agriculture, forestry and fishing",112.9,GVA
2015.0,Germany,"Agriculture, forestry and fishing",97.022,GVA
2015.25,Germany,"Agriculture, forestry and fishing",97.312,GVA
2015.5,Germany,"Agriculture, forestry and fishing",97.303,GVA
2015.75,Germany,"Agriculture, forestry and fishing",99.272,GVA
2016.0,Germany,"Agriculture, forestry and fishing",99.71,GVA
2016.25,Germany,"Agriculture, forestry and fishing",102.42,GVA
2016.5,Germany,"Agriculture, forestry and fishing",100.77,GVA
2016.75,Germany,"Agriculture, forestry and fishing",102.95,GVA
2017.0,Germany,"Agriculture, forestry and fishing",104.208,GVA
2017.25,Germany,"Agriculture, forestry and fishing",104.617,GVA
2017.5,Germany,"Agriculture, forestry and fishing",106.597,GVA
2017.75,Germany,"Agriculture, forestry and fishing",108.517,GVA
2018.0,Germany,"Agriculture, forestry and fishing",91.103,GVA
2018.25,Germany,"Agriculture, forestry and fishing",91.843,GVA
2018.5,Germany,"Agriculture, forestry and fishing",91.022,GVA
2018.75,Germany,"Agriculture, forestry and fishing",93.682,GVA
2019.0,Germany,"Agriculture, forestry and fishing",98.77,GVA
2019.25,Germany,"Agriculture, forestry and fishing",99.87,GVA
2019.5,Germany,"Agriculture, forestry and fishing",100.91,GVA
2019.75,Germany,"Agriculture, forestry and fishing",101.17,GVA
2020.0,Germany,"Agriculture, forestry and fishing",98.612,GVA
2020.25,Germany,"Agriculture, forestry and fishing",99.513,GVA
2020.5,Germany,"Agriculture, forestry and fishing",101.122,GVA
2020.75,Germany,"Agriculture, forestry and fishing",100.753,GVA
2021.0,Germany,"Agriculture, forestry and fishing",112.7,GVA
2021.25,Germany,"Agriculture, forestry and fishing",113.69,GVA
2021.5,Germany,"Agriculture, forestry and fishing",114.99,GVA
2021.75,Germany,"Agriculture, forestry and fishing",114.16,GVA
2022.0,Germany,"Agriculture, forestry and fishing",115.19,GVA
2022.25,Germany,"Agriculture, forestry and fishing",116.72,GVA
2022.5,Germany,"Agriculture, forestry and fishing",118.0,GVA
2022.75,Germany,"Agriculture, forestry and fishing",117.64,GVA
2023.0,Germany,"Agriculture, forestry and fishing",116.638,GVA
2023.25,Germany,"Agriculture, forestry and fishing",117.457,GVA
2023.5,Germany,"Agriculture, forestry and fishing",117.957,GVA
2023.75,Germany,"Agriculture, forestry and fishing",118.497,GVA
2024.0,Germany,"Agriculture, forestry and fishing",117.07,GVA
2024.25,Germany,"Agriculture, forestry and fishing",117.55,GVA
2024.5,Germany,"Agriculture, forestry and fishing",118.42,GVA
2024.75,Germany,"Agriculture, forestry and fishing",117.27,GVA
1997.0,Denmark,"Agriculture, forestry and fishing",100.246,GVA
1997.25,Denmark,"Agriculture, forestry and fishing",97.908,GVA
1997.5,Denmark,"Agriculture, forestry and fishing",95.698,GVA
1997.75,Denmark,"Agriculture, forestry and fishing",86.358,GVA
1998.0,Denmark,"Agriculture, forestry and fishing",103.138,GVA
1998.25,Denmark,"Agriculture, forestry and fishing",87.742,GVA
1998.5,Denmark,"Agriculture, forestry and fishing",95.114,GVA
1998.75,Denmark,"Agriculture, forestry and fishing",100.453,GVA
1999.0,Denmark,"Agriculture, forestry and fishing",96.463,GVA
1999.25,Denmark,"Agriculture, forestry and fishing",95.4,GVA
1999.5,Denmark,"Agriculture, forestry and fishing",89.599,GVA
