Country,Year,GDP per Hour Worked
France,1970,36.584559
Germany,1970,38.829822
Italy,1970,47.54863
Spain,1970,37.582809
United Kingdom,1970,39.997229
United States,1970,48.819783
France,1971,38.4033
Germany,1971,40.524461
Italy,1971,49.674269
Spain,1971,39.123319
United Kingdom,1971,42.606111
United States,1971,50.650568
France,1972,40.985667
Germany,1972,42.543817
Italy,1972,52.135119
Spain,1972,42.270507
United Kingdom,1972,45.124673
United States,1972,51.882497
France,1973,43.352097
Germany,1973,44.713971
Italy,1973,55.527978
Spain,1973,44.941087
United Kingdom,1973,45.946183
United States,1973,53.113941
France,1974,45.56264
Germany,1974,46.519149
Italy,1974,58.602639
Spain,1974,46.989696
United Kingdom,1974,45.615769
United States,1974,52.634755
France,1975,46.109511
Germany,1975,48.269427
Italy,1975,57.800083
Spain,1975,47.789759
United Kingdom,1975,45.23678
United States,1975,54.075762
France,1976,47.057382
Germany,1976,50.519884
Italy,1976,61.365685
Spain,1976,49.722879
United Kingdom,1976,47.257872
United States,1976,55.385876
France,1977,49.264423
Germany,1977,52.600347
Italy,1977,63.912401
Spain,1977,51.562967
United Kingdom,1977,48.873712
United States,1977,55.976814
France,1978,51.79632
Germany,1978,54.224191
Italy,1978,66.119869
Spain,1978,53.977582
United Kingdom,1978,51.217904
United States,1978,56.420162
France,1979,53.378026
Germany,1979,55.776802
Italy,1979,69.533694
Spain,1979,56.171308
United Kingdom,1979,52.831307
United States,1979,56.672847
France,1980,54.2552
Germany,1980,56.24638
Italy,1980,70.854162
Spain,1980,59.57542
United Kingdom,1980,53.336263
United States,1980,56.684313
France,1981,55.522586
Germany,1981,57.18147
Italy,1981,71.269172
Spain,1981,62.060954
United Kingdom,1981,56.52667
United States,1981,57.999248
France,1982,59.123398
Germany,1982,57.773097
Italy,1982,70.983066
Spain,1982,64.096169
United Kingdom,1982,58.209303
United States,1982,57.81291
France,1983,60.561641
Germany,1983,59.668651
Italy,1983,71.609984
Spain,1983,66.607224
United Kingdom,1983,61.28244
United States,1983,59.394873
France,1984,62.038122
Germany,1984,61.244613
Italy,1984,74.335548
Spain,1984,71.057022
United Kingdom,1984,60.726315
United States,1984,60.633096
France,1985,64.531501
Germany,1985,62.65778
Italy,1985,75.841455
Spain,1985,73.873846
United Kingdom,1985,61.415085
United States,1985,61.748111
France,1986,65.956339
Germany,1986,63.60719
Italy,1986,77.127467
Spain,1986,74.887676
United Kingdom,1986,63.03277
United States,1986,63.14487
France,1987,66.606748
Germany,1987,64.477291
Italy,1987,78.603139
Spain,1987,75.771489
United Kingdom,1987,65.364288
United States,1987,63.603752
France,1988,68.757769
Germany,1988,66.140509
Italy,1988,80.873332
Spain,1988,77.114136
United Kingdom,1988,65.234491
United States,1988,64.339062
France,1989,71.208466
Germany,1989,68.442245
Italy,1989,83.749497
Spain,1989,78.546913
United Kingdom,1989,65.504315
United States,1989,64.905901
France,1990,72.916395
Germany,1990,70.860694
Italy,1990,84.556158
Spain,1990,78.443401
United Kingdom,1990,66.239326
United States,1990,66.017332
France,1991,73.830001
Germany,1991,73.324316
Italy,1991,84.595277
Spain,1991,79.078701
United Kingdom,1991,67.575298
United States,1991,66.882229
France,1992,75.607026
Germany,1992,75.196027
Italy,1992,85.779154
Spain,1992,81.311551
United Kingdom,1992,70.799665
United States,1992,69.179788
France,1993,76.3106
Germany,1993,76.660097
Italy,1993,87.401638
Spain,1993,83.204731
United Kingdom,1993,73.367751
United States,1993,69.44318
France,1994,77.885244
Germany,1994,78.64403
Italy,1994,91.072919
Spain,1994,85.641666
United Kingdom,1994,75.157328
United States,1994,70.03144
France,1995,79.8219
Germany,1995,79.828601
Italy,1995,93.772882
Spain,1995,86.357948
United Kingdom,1995,76.209292
United States,1995,70.185526
France,1996,80.691661
Germany,1996,81.172291
Italy,1996,93.880025
Spain,1996,87.314344
United Kingdom,1996,77.45123
United States,1996,71.930383
France,1997,82.026815
Germany,1997,83.161713
Italy,1997,95.612618
Spain,1997,87.168296
United Kingdom,1997,79.836181
United States,1997,72.97303
France,1998,84.055794
Germany,1998,84.008588
Italy,1998,95.678224
Spain,1998,86.757607
United Kingdom,1998,81.964484
United States,1998,74.614716
France,1999,85.267075
Germany,1999,84.962423
Italy,1999,96.351086
Spain,1999,86.451833
United Kingdom,1999,83.801614
United States,1999,76.818796
France,2000,87.525502
Germany,2000,87.068634
Italy,2000,99.118059
Spain,2000,86.853672
United Kingdom,2000,87.228252
United States,2000,78.928548
France,2001,89.163111
Germany,2001,89.255258
Italy,2001,99.78275
Spain,2001,86.992814
United Kingdom,2001,88.480893
United States,2001,80.660218
France,2002,91.766179
Germany,2002,90.082726
Italy,2002,99.00028
Spain,2002,87.127687
United Kingdom,2002,90.430863
United States,2002,82.891625
France,2003,92.289942
Germany,2003,90.775624
Italy,2003,98.298734
Spain,2003,87.38699
United Kingdom,2003,92.905382
United States,2003,85.398085
France,2004,93.309866
Germany,2004,91.602335
Italy,2004,99.123067
Spain,2004,87.667071
United Kingdom,2004,94.147513
United States,2004,87.632516
France,2005,94.138072
Germany,2005,93.047959
Italy,2005,99.565938
Spain,2005,88.009535
United Kingdom,2005,95.021657
United States,2005,89.463196
France,2006,96.481781
Germany,2006,94.536022
Italy,2006,99.346739
Spain,2006,88.524184
United Kingdom,2006,96.809346
United States,2006,90.31024
France,2007,96.0296
Germany,2007,95.652946
Italy,2007,99.271227
Spain,2007,89.502613
United Kingdom,2007,98.234708
United States,2007,91.57842
France,2008,95.416924
Germany,2008,95.677826
Italy,2008,98.70518
Spain,2008,89.733039
United Kingdom,2008,98.225392
United States,2008,92.751305
France,2009,94.440997
Germany,2009,92.797837
Italy,2009,96.73892
Spain,2009,91.895675
United Kingdom,2009,95.753497
United States,2009,95.715647
France,2010,95.663522
Germany,2010,94.936987
Italy,2010,98.938252
Spain,2010,94.231736
United Kingdom,2010,98.242208
United States,2010,98.245288
France,2011,96.621402
Germany,2011,97.40629
Italy,2011,99.606174
Spain,2011,95.622838
United Kingdom,2011,98.337771
United States,2011,98.282918
France,2012,96.937089
Germany,2012,98.007256
Italy,2012,99.073743
Spain,2012,97.467504
United Kingdom,2012,97.73831
United States,2012,98.653951
France,2013,98.249867
Germany,2013,98.472527
Italy,2013,99.86123
Spain,2013,98.90578
United Kingdom,2013,98.181436
United States,2013,99.073648
France,2014,99.195227
Germany,2014,99.49312
Italy,2014,99.940667
Spain,2014,99.211993
United Kingdom,2014,98.419046
United States,2014,99.446088
France,2015,100.0
Germany,2015,100.0
Italy,2015,100.0
Spain,2015,100.0
United Kingdom,2015,100.0
United States,2015,100.0
France,2016,100.279427
Germany,2016,101.355337
Italy,2016,99.692606
Spain,2016,100.457181
United Kingdom,2016,99.39092
United States,2016,100.302963
France,2017,102.395091
Germany,2017,103.162111
Italy,2017,100.335718
Spain,2017,101.334899
United Kingdom,2017,101.395966
United States,2017,101.201253
France,2018,102.814627
Germany,2018,103.375684
Italy,2018,100.323292
Spain,2018,101.103306
United Kingdom,2018,101.573367
United States,2018,102.3422
France,2019,103.215736
Germany,2019,104.113236
Italy,2019,100.82174
Spain,2019,101.664137
United Kingdom,2019,102.076228
United States,2019,103.581713
France,2020,103.5224
Germany,2020,105.31975
Italy,2020,103.942159
Spain,2020,101.486085
United Kingdom,2020,103.987187
United States,2020,107.111176
France,2021,101.711063
Germany,2021,105.93029
Italy,2021,102.146042
Spain,2021,100.71623
United Kingdom,2021,103.244366
United States,2021,108.386615
France,2022,99.761299
Germany,2022,106.460679
Italy,2022,101.854776
Spain,2022,102.538091
United Kingdom,2022,104.285141
United States,2022,107.025198
