,Quarter,Industry,Value,Country,Variable
0,1997 Q1,Total,70.1313189798375,UK,GVA
1,1997 Q2,Total,71.0447841118649,UK,GVA
2,1997 Q3,Total,71.7880064750264,UK,GVA
3,1997 Q4,Total,72.96408725443932,UK,GVA
4,1998 Q1,Total,73.51988638582189,UK,GVA
5,1998 Q2,Total,73.97840393499537,UK,GVA
6,1998 Q3,Total,74.22807845447232,UK,GVA
7,1998 Q4,Total,74.73367493448553,UK,GVA
8,1999 Q1,Total,75.25979872083644,UK,GVA
9,1999 Q2,Total,75.65963494863153,UK,GVA
10,1999 Q3,Total,76.84240941489368,UK,GVA
11,1999 Q4,Total,78.11911861994027,UK,GVA
12,2000 Q1,Total,79.16043317078831,UK,GVA
13,2000 Q2,Total,79.96255997822321,UK,GVA
14,2000 Q3,Total,80.54803445463743,UK,GVA
15,2000 Q4,Total,81.1948677271698,UK,GVA
16,2001 Q1,Total,81.94277567112577,UK,GVA
17,2001 Q2,Total,82.22524925616406,UK,GVA
18,2001 Q3,Total,82.5951870160325,UK,GVA
19,2001 Q4,Total,82.76297543305365,UK,GVA
20,2002 Q1,Total,82.93121009586474,UK,GVA
21,2002 Q2,Total,83.44149215667244,UK,GVA
22,2002 Q3,Total,84.29783782758624,UK,GVA
23,2002 Q4,Total,84.91410326350703,UK,GVA
24,2003 Q1,Total,85.45963874172074,UK,GVA
25,2003 Q2,Total,86.17006203932095,UK,GVA
26,2003 Q3,Total,86.92087058091161,UK,GVA
27,2003 Q4,Total,87.63664882799121,UK,GVA
28,2004 Q1,Total,87.98806738757673,UK,GVA
29,2004 Q2,Total,88.31494242871501,UK,GVA
30,2004 Q3,Total,88.71991048309454,UK,GVA
31,2004 Q4,Total,89.52404539658421,UK,GVA
32,2005 Q1,Total,90.34246017535227,UK,GVA
33,2005 Q2,Total,91.25436344711484,UK,GVA
34,2005 Q3,Total,91.98977650895225,UK,GVA
35,2005 Q4,Total,92.9704016323671,UK,GVA
36,2006 Q1,Total,93.50076475372252,UK,GVA
37,2006 Q2,Total,93.68484114207685,UK,GVA
38,2006 Q3,Total,93.84839022409348,UK,GVA
39,2006 Q4,Total,94.48183612292732,UK,GVA
40,2007 Q1,Total,95.66907304708899,UK,GVA
41,2007 Q2,Total,96.57383638621235,UK,GVA
42,2007 Q3,Total,97.36235269705378,UK,GVA
43,2007 Q4,Total,97.86661043969713,UK,GVA
44,2008 Q1,Total,98.55182085016516,UK,GVA
45,2008 Q2,Total,98.14997651631529,UK,GVA
46,2008 Q3,Total,96.46048995556508,UK,GVA
47,2008 Q4,Total,94.17883523155136,UK,GVA
48,2009 Q1,Total,92.02279869740853,UK,GVA
49,2009 Q2,Total,91.59127901852699,UK,GVA
50,2009 Q3,Total,91.66379395939387,UK,GVA
51,2009 Q4,Total,92.03529357952715,UK,GVA
52,2010 Q1,Total,93.03956972980933,UK,GVA
53,2010 Q2,Total,94.09137105672117,UK,GVA
54,2010 Q3,Total,94.60700806700827,UK,GVA
