DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1995-Q1,487020.3,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1995-Q2,499663.3,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1995-Q3,497802.4,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1995-Q4,499677.8,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1996-Q1,492213.5,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1996-Q2,492903.3,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1996-Q3,495893.4,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1996-Q4,495477.3,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1997-Q1,486987.8,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1997-Q2,489261.7,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1997-Q3,490185.1,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1997-Q4,495047.9,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1998-Q1,497836.5,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1998-Q2,498652.2,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1998-Q3,502893.6,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1998-Q4,507555.4,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1999-Q1,514467.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1999-Q2,515126.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1999-Q3,520612.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,1999-Q4,522633.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2000-Q1,529558.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2000-Q2,533011.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2000-Q3,534078.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2000-Q4,533238.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2001-Q1,547664.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2001-Q2,547434.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2001-Q3,549774.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2001-Q4,553461.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2002-Q1,551875.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2002-Q2,553448.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2002-Q3,560407.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2002-Q4,561316.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2003-Q1,556214.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2003-Q2,557322.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2003-Q3,564773.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2003-Q4,566012.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2004-Q1,567314.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2004-Q2,573574.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2004-Q3,572428.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2004-Q4,572646.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2005-Q1,574332.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2005-Q2,577809.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2005-Q3,583094.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2005-Q4,587251.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2006-Q1,592026.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2006-Q2,603870.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2006-Q3,609737.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2006-Q4,621405.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2007-Q1,628126.0,,
ESTAT:NAMQ_10_GDP(1.0),14/02/25 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2007-Q2,633420.0,,
