DATAFLOW,LAST UPDATE,freq,unit,s_adj,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1997-Q1,74.593,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1997-Q2,75.555,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1997-Q3,75.886,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1997-Q4,76.788,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1998-Q1,77.246,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1998-Q2,76.896,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1998-Q3,77.296,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1998-Q4,77.477,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1999-Q1,78.026,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1999-Q2,78.016,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1999-Q3,78.998,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,1999-Q4,79.328,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,2000-Q1,80.661,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,2000-Q2,81.283,,
ESTAT:NAMQ_10_A10(1.0),30/01/25 23:00:00,Quarterly,"Chain linked volumes, index 2020=100",Seasonally and calendar adjusted data,Total - all NACE activities,"Value added, gross",Germany,2000-Q3,81.624,,
