DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1997-Q1,78.047,,
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1997-Q2,78.326,,
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1997-Q3,78.543,,
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1997-Q4,79.337,,
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1998-Q1,80.137,,
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1998-Q2,79.425,,
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1998-Q3,79.359,,
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1998-Q4,79.337,,
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1999-Q1,80.287,,
ESTAT:NAMQ_10_LP_ULC(1.0),25/02/25 23:00:00,Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,1999-Q2,80.157,,
