"Figure 4: Output per worker using RTI data grew by 3.7%, while output per worker using LFS data grew by 2.1% in July to September 2025, compared with 2019 (average)",""
"Output per worker using Labour Force Survey (LFS), output per worker using Real Time Information (RTI), UK, index 2023 equals 100, Quarter 3 (July to Sept) 2014 to Quarter 3 (July to Sept) 2025",""
"",""
"Notes","1. Real Time Information (RTI) worker estimate supplemented by Labour Force Survey (LFS) self-employed data. 
2. No adjustment is made for those that are employed but not part of Pay As You Earn (PAYE). 
3. Any individual who has a main job outside of the PAYE scheme and a second job on the PAYE scheme will be categorised as only having a main job."
"Unit","Index 2023 equals 100"
"",""
"Period","LFS Output per worker","RTI + SE (exc working proprietors) Output per worker"
"Q3 2014","95.0","96.4"
"Q4 2014","95.2","96.8"
"Q1 2015","94.7","96.2"
"Q2 2015","95.2","96.2"
"Q3 2015","94.8","95.8"
"Q4 2015","94.7","95.8"
"Q1 2016","95.2","96.0"
"Q2 2016","95.5","96.5"
"Q3 2016","95.8","96.7"
"Q4 2016","96.3","97.1"
"Q1 2017","96.9","97.9"
"Q2 2017","97.4","98.4"
"Q3 2017","98.0","98.7"
"Q4 2017","98.4","99.1"
"Q1 2018","97.9","99.1"
"Q2 2018","98.0","99.1"
"Q3 2018","98.2","99.0"
"Q4 2018","97.8","98.7"
"Q1 2019","98.0","98.7"
"Q2 2019","97.7","98.7"
"Q3 2019","98.5","99.4"
"Q4 2019","98.1","99.2"
"Q1 2020","95.9","96.8"
"Q2 2020","77.7","79.5"
"Q3 2020","91.7","94.1"
"Q4 2020","93.4","96.2"
"Q1 2021","92.3","95.2"
"Q2 2021","98.3","100.7"
"Q3 2021","99.0","101.0"
"Q4 2021","100.1","101.6"
"Q1 2022","100.9","101.7"
"Q2 2022","100.7","101.7"
"Q3 2022","101.0","101.1"
"Q4 2022","100.7","101.1"
"Q1 2023","100.2","100.5"
"Q2 2023","100.1","100.3"
"Q3 2023","100.0","99.9"
"Q4 2023","99.6","99.3"
"Q1 2024","100.6","100.0"
"Q2 2024","100.7","100.4"
"Q3 2024","100.1","100.6"
"Q4 2024","100.1","100.8"
"Q1 2025","100.4","101.7"
"Q2 2025","100.0","102.3"
"Q3 2025","100.2","102.7"
