"Figure 3: Output per worker was 1.4% above its pre-coronavirus (COVID-19) pandemic levels (2019 average level) in January to March 2025",""
"Output per worker, gross value added, workers, UK, index Quarter 1 1997 equals 100, Quarter 1 (Jan to Mar) 1997 to Quarter 1 (Jan to Mar) 2025",""
"",""
"Notes","1. The trendline is constructed as in Figure 1."
"Unit","Index Quarter 1 1997 = 100 "
"",""
"Date","Gross value added","Workers","Output per worker","Output per worker trend"
"Q1 1997","100.0","100.0","100.0",""
"Q2 1997","101.0","100.5","100.5",""
"Q3 1997","101.7","100.7","101.0",""
"Q4 1997","103.1","101.0","102.1",""
"Q1 1998","104.0","101.1","102.8",""
"Q2 1998","104.7","101.3","103.4",""
"Q3 1998","105.1","101.7","103.3",""
"Q4 1998","105.9","102.2","103.7",""
"Q1 1999","106.7","102.5","104.1",""
"Q2 1999","107.1","102.7","104.3",""
"Q3 1999","108.9","103.2","105.6",""
"Q4 1999","110.6","103.6","106.7",""
"Q1 2000","111.8","103.7","107.8",""
"Q2 2000","112.7","104.1","108.3",""
"Q3 2000","113.5","104.5","108.7",""
"Q4 2000","114.3","104.4","109.5",""
"Q1 2001","115.3","104.7","110.1",""
"Q2 2001","115.8","105.0","110.2",""
"Q3 2001","116.2","105.1","110.6",""
"Q4 2001","116.5","105.4","110.6",""
"Q1 2002","116.7","105.4","110.8",""
"Q2 2002","117.2","105.9","110.7",""
"Q3 2002","118.1","105.9","111.6",""
"Q4 2002","119.1","106.6","111.7",""
"Q1 2003","119.8","106.5","112.5",""
"Q2 2003","120.9","107.0","113.0",""
"Q3 2003","122.0","107.1","113.9",""
"Q4 2003","123.1","107.3","114.7",""
"Q1 2004","123.4","107.9","114.4",""
"Q2 2004","124.0","107.9","114.9",""
"Q3 2004","124.4","108.1","115.0",""
"Q4 2004","125.2","108.7","115.1",""
"Q1 2005","126.2","109.1","115.6",""
"Q2 2005","127.4","109.2","116.6",""
"Q3 2005","128.5","109.7","117.2",""
"Q4 2005","129.8","109.5","118.6",""
"Q1 2006","130.6","110.1","118.6",""
"Q2 2006","131.0","110.3","118.8",""
"Q3 2006","131.3","110.6","118.7",""
"Q4 2006","131.9","110.7","119.1",""
"Q1 2007","133.3","110.7","120.4",""
"Q2 2007","134.4","111.1","120.9",""
"Q3 2007","135.2","111.5","121.2",""
"Q4 2007","135.9","112.1","121.2",""
"Q1 2008","136.8","112.5","121.5",""
"Q2 2008","136.2","112.7","120.9",""
"Q3 2008","134.1","112.1","119.6",""
"Q4 2008","131.2","111.9","117.2",""
"Q1 2009","128.6","111.3","115.6",""
"Q2 2009","128.1","110.3","116.2","118.1"
"Q3 2009","128.2","110.2","116.3","118.2"
"Q4 2009","128.6","110.3","116.6","118.4"
"Q1 2010","130.0","110.0","118.2","118.5"
"Q2 2010","131.4","110.7","118.8","118.7"
"Q3 2010","132.2","111.4","118.7","118.8"
"Q4 2010","132.3","111.2","119.0","118.9"
"Q1 2011","132.7","111.6","118.9","119.1"
