"Figure 3: Output per worker in July to September 2025 was 2.1% above its pre-coronavirus (COVID-19) pandemic level",""
"Output per worker, gross value added, workers, UK, index Quarter 1 1997 equals 100, Quarter 1 (Jan to Mar) 1997 to Quarter 3 (July to Sept) 2025",""
"",""
"Notes","1. The trendline is constructed as in Figure 1."
"Unit","Index Quarter 1 1997 equals 100 "
"",""
"Date","Gross value added","Workers","Output per worker","Output per worker trend"
"Q1 1997","100.0","100.0","100.0",""
"Q2 1997","101.0","100.5","100.5",""
"Q3 1997","101.7","100.7","101.0",""
"Q4 1997","103.1","101.0","102.1",""
"Q1 1998","104.0","101.1","102.8",""
"Q2 1998","104.6","101.3","103.3",""
"Q3 1998","104.9","101.7","103.1",""
"Q4 1998","105.7","102.2","103.5",""
"Q1 1999","106.3","102.5","103.7",""
"Q2 1999","106.7","102.7","103.8",""
"Q3 1999","108.6","103.2","105.2",""
"Q4 1999","110.4","103.6","106.6",""
"Q1 2000","111.7","103.7","107.6",""
"Q2 2000","112.6","104.1","108.1",""
"Q3 2000","113.3","104.4","108.5",""
"Q4 2000","114.1","104.4","109.3",""
"Q1 2001","115.0","104.7","109.9",""
"Q2 2001","115.5","105.0","110.0",""
"Q3 2001","115.9","105.1","110.4",""
"Q4 2001","116.2","105.4","110.2",""
"Q1 2002","116.4","105.4","110.5",""
"Q2 2002","116.9","105.9","110.4",""
"Q3 2002","117.8","105.9","111.2",""
"Q4 2002","118.6","106.6","111.3",""
"Q1 2003","119.4","106.5","112.1",""
"Q2 2003","120.6","107.0","112.7",""
"Q3 2003","121.8","107.1","113.7",""
"Q4 2003","122.8","107.3","114.4",""
"Q1 2004","123.0","107.9","114.0",""
"Q2 2004","123.4","107.9","114.4",""
"Q3 2004","123.8","108.1","114.5",""
"Q4 2004","124.5","108.7","114.5",""
"Q1 2005","125.6","109.1","115.1",""
"Q2 2005","126.7","109.2","116.1",""
"Q3 2005","128.0","109.7","116.7",""
"Q4 2005","129.5","109.5","118.3",""
"Q1 2006","130.1","110.1","118.2",""
"Q2 2006","130.3","110.3","118.1",""
"Q3 2006","130.4","110.6","117.9",""
"Q4 2006","130.9","110.7","118.2",""
"Q1 2007","132.4","110.7","119.6",""
"Q2 2007","133.8","111.1","120.3",""
"Q3 2007","134.9","111.5","121.0",""
"Q4 2007","136.0","112.1","121.3",""
"Q1 2008","136.7","112.5","121.5",""
"Q2 2008","136.2","112.7","120.9",""
"Q3 2008","134.0","112.1","119.5",""
"Q4 2008","131.2","111.9","117.2",""
"Q1 2009","128.6","111.3","115.5",""
"Q2 2009","128.1","110.3","116.2","117.2"
"Q3 2009","128.2","110.2","116.3","117.4"
"Q4 2009","128.7","110.3","116.7","117.6"
"Q1 2010","129.9","110.0","118.2","117.8"
"Q2 2010","131.5","110.7","118.8","118.0"
"Q3 2010","132.3","111.4","118.7","118.3"
"Q4 2010","132.3","111.2","119.0","118.5"
"Q1 2011","132.4","111.6","118.6","118.7"
